DateTime	Temperature	HeaterCurrent	UserTarget
22/6/2023 22:34:05	36.2	2.2	36.5
22/6/2023 22:34:08	36.8	2.2	36.5
22/6/2023 22:34:12	36.2	2.2	36.5
22/6/2023 22:34:15	36.9	2.2	36.5
22/6/2023 22:34:18	36.3	2.2	36.5
22/6/2023 22:34:21	36.8	0.0	36.5
22/6/2023 22:34:24	36.3	2.2	36.5
22/6/2023 22:34:27	36.6	0.0	36.5
22/6/2023 22:34:30	36.4	2.2	36.5
22/6/2023 22:34:33	36.6	0.0	36.5
22/6/2023 22:34:36	36.4	2.2	36.5
22/6/2023 22:34:40	36.4	0.0	36.5
22/6/2023 22:34:43	36.6	2.2	36.5
22/6/2023 22:34:46	36.2	2.2	36.5
22/6/2023 22:34:49	36.8	2.2	36.5
22/6/2023 22:34:52	36.4	2.2	36.5
22/6/2023 22:34:55	36.6	0.0	36.5
22/6/2023 22:34:58	36.4	2.2	36.5
22/6/2023 22:35:01	36.5	0.0	36.5
22/6/2023 22:35:04	36.5	2.2	36.5
22/6/2023 22:35:08	36.3	0.0	36.5
22/6/2023 22:35:11	36.5	2.2	36.5
22/6/2023 22:35:14	36.3	0.0	36.5
22/6/2023 22:35:17	36.6	2.2	36.5
22/6/2023 22:35:20	36.3	0.0	36.5
22/6/2023 22:35:23	36.6	2.2	36.5
22/6/2023 22:35:26	36.2	0.0	36.5
22/6/2023 22:35:29	36.7	2.2	36.5
22/6/2023 22:35:32	36.1	0.0	36.5
22/6/2023 22:35:35	36.8	2.2	36.5
22/6/2023 22:35:39	36.1	2.2	36.5
22/6/2023 22:35:42	36.8	2.2	36.5
22/6/2023 22:35:45	36.2	2.2	36.5
22/6/2023 22:35:48	36.7	0.0	36.5
22/6/2023 22:35:51	36.2	2.2	36.5
22/6/2023 22:35:54	36.8	0.0	36.5
22/6/2023 22:35:57	36.3	2.2	36.5
